Geography,Timeframe,Week,Type,Average_Price,Total_Bulk_and_Bags_Units,4046_Units,4225_Units,4770_Units,TotalBagged_Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Grand Rapids,Weekly,3/13/22 0:00,Organic,1.523950718,12738.41,47.33,927.85,0,11763.23,,,
Harrisburg/Scranton,Weekly,3/13/22 0:00,Organic,1.690557183,19962.55,411.53,429.15,0,19121.87,,,
Hartford/Springfield,Weekly,3/13/22 0:00,Organic,1.748237576,24819.09,747.66,2851.56,0,21219.87,,,
Houston,Weekly,3/13/22 0:00,Organic,1.424110554,25080.58,6019.07,297.11,0,18764.39,,,
Indianapolis,Weekly,3/13/22 0:00,Organic,1.697418666,14097.38,201.37,4120.54,0,9775.47,,,
Jacksonville,Weekly,3/13/22 0:00,Organic,1.308009848,30132.34,38.67,308.58,0,29785.1,,,
Las Vegas,Weekly,3/13/22 0:00,Organic,1.616889169,18021.05,4409.9,3578.44,0,10032.7,,,
Los Angeles,Weekly,3/13/22 0:00,Organic,1.745829942,159492.1,68347.78,6308.06,0,84836.26,,,
Louisville,Weekly,3/13/22 0:00,Organic,1.63394263,9081.1,396.2,3360,0,5324.9,,,
Miami/Ft. Lauderdale,Weekly,3/13/22 0:00,Organic,1.224185673,151116.23,1493.68,811.01,0,148811.54,,,
Nashville,Weekly,3/13/22 0:00,Organic,1.6279151,26749.91,782.03,6319.7,0,19648.18,,,
Northern New England,Weekly,3/13/22 0:00,Organic,1.873190913,19952.29,1806.37,277.87,0.97,17867.08,,,
New Orleans/Mobile,Weekly,3/13/22 0:00,Organic,1.269102754,16061.68,294.84,124.93,0,15641.91,,,
New York,Weekly,3/13/22 0:00,Organic,1.869534806,125422.64,9170.65,13645.22,0,102606.78,,,
Orlando,Weekly,3/13/22 0:00,Organic,1.183040268,94065.35,168.27,124.27,0,93772.81,,,
Peoria/Springfield,Weekly,3/13/22 0:00,Organic,1.710271885,6447.58,64.28,1319.44,0,5063.86,,,
Philadelphia,Weekly,3/13/22 0:00,Organic,1.861829007,31231.15,1267.36,3429.66,0,26534.14,,,
Phoenix/Tucson,Weekly,3/13/22 0:00,Organic,1.623710888,32182.16,6780.41,6526.86,0,18874.9,,,
Pittsburgh,Weekly,3/13/22 0:00,Organic,1.77836329,11422.23,1841.95,0,0,9580.29,,,
Portland,Weekly,3/13/22 0:00,Organic,2.20972497,52645.83,1730.34,29110.22,0,21805.28,,,
Providence,Weekly,3/13/22 0:00,Organic,1.709927318,6813.91,60.76,7.81,0,6745.34,,,
Raleigh/Greensboro,Weekly,3/13/22 0:00,Organic,1.679211202,35990.97,1206.84,4379.01,94.9,30310.22,,,
Richmond/Norfolk,Weekly,3/13/22 0:00,Organic,1.585876311,24531.86,866.32,3023.06,0,20642.49,,,
Roanoke,Weekly,3/13/22 0:00,Organic,1.6179766,12536.94,812.17,2046.15,0,9678.61,,,
Sacramento,Weekly,3/13/22 0:00,Organic,1.962645133,23676.42,6591.42,3759.45,1.13,13324.43,,,
San Diego,Weekly,3/13/22 0:00,Organic,1.942799994,29157.81,14813.58,1427.63,0,12916.6,,,
San Francisco,Weekly,3/13/22 0:00,Organic,2.133880277,73534.05,25898.94,7024.83,0,40610.28,,,
Seattle,Weekly,3/13/22 0:00,Organic,2.293727185,74482.26,1194.57,53291.12,0,19996.57,,,
South Carolina,Weekly,3/13/22 0:00,Organic,1.594527651,43420.57,759.44,5018.92,34.31,37607.89,,,
Spokane,Weekly,3/13/22 0:00,Organic,2.282310179,5350.77,197.49,2839.27,0,2314.01,,,
St. Louis,Weekly,3/13/22 0:00,Organic,1.751580441,13090.56,1301.78,3031.45,0,8757.33,,,
Syracuse,Weekly,3/13/22 0:00,Organic,1.535621228,6631.3,239.64,41.56,0,6350.09,,,
Tampa,Weekly,3/13/22 0:00,Organic,1.146816878,97543.41,135.92,174.93,0,97232.56,,,
Toledo,Weekly,3/13/22 0:00,Organic,1.672012512,6337.78,1107.51,1040.46,0,4189.81,,,
West Tex/New Mexico,Weekly,3/13/22 0:00,Organic,1.218583418,37150.79,7594.51,1633.69,0,27922.59,,,
Wichita,Weekly,3/13/22 0:00,Organic,1.557772635,4684.8,1566.67,3.91,0,3114.22,,,
California,Weekly,3/13/22 0:00,Organic,1.899878858,356444.89,140694.88,26281.9,1.44,189466.67,,,
Great Lakes,Weekly,3/13/22 0:00,Organic,1.716204478,244560.07,27525.96,46488.09,0,170546.02,,,
Midsouth,Weekly,3/13/22 0:00,Organic,1.671115091,313232.74,9357.96,48859.93,194.25,254820.61,,,
Northeast,Weekly,3/13/22 0:00,Organic,1.782783156,326531.48,19029.83,20638.76,9.3,286853.58,,,
Plains,Weekly,3/13/22 0:00,Organic,1.693947611,70871.57,14237.09,4398.67,0,52235.81,,,
South Central,Weekly,3/13/22 0:00,Organic,1.480946199,174935.13,26066.13,5368.64,0,143500.36,,,
Southeast,Weekly,3/13/22 0:00,Organic,1.289167099,632085.55,4235.19,26856.9,39.23,600954.24,,,
West,Weekly,3/13/22 0:00,Organic,1.912250808,366986.43,65211.28,132252.79,0,169522.36,,,
Total U.S.,Weekly,3/13/22 0:00,Organic,1.648767823,2485647.85,306358.31,311145.68,244.22,1867899.64,,,
Albany,Weekly,3/20/22 0:00,Conventional,1.227812288,117692.77,40969.8,53104.2,462.42,23156.35,,,
Atlanta,Weekly,3/20/22 0:00,Conventional,1.129633978,799567.68,535934.68,108841.91,1200.88,153590.21,,,
Baltimore/Washington,Weekly,3/20/22 0:00,Conventional,1.417706042,1139121.72,442126.82,186375.26,3782.8,506836.84,,,
Birmingham/Montgomery,Weekly,3/20/22 0:00,Conventional,1.323429604,330886.47,203686.7,26183.48,911.08,100105.21,,,
Boise,Weekly,3/20/22 0:00,Conventional,1.313997641,117868.27,45211.04,10309.41,9054.06,53293.76,,,
Boston,Weekly,3/20/22 0:00,Conventional,1.690419498,582061.06,143749.12,286482.8,1329.04,150500.1,,,
Buffalo/Rochester,Weekly,3/20/22 0:00,Conventional,1.376544097,208765.03,49187.51,37844.89,1255.24,120477.39,,,
Charlotte,Weekly,3/20/22 0:00,Conventional,1.376515022,395517.68,172534.73,59085.36,3278.08,160619.51,,,
Chicago,Weekly,3/20/22 0:00,Conventional,1.42431749,983016.44,395886.43,216126.49,82413.81,288589.72,,,
Cincinnati/Dayton,Weekly,3/20/22 0:00,Conventional,1.210972694,327205.26,231007.3,55951.33,389.57,39857.06,,,
Columbus,Weekly,3/20/22 0:00,Conventional,1.217065723,275962.08,190690.7,37253.9,425.66,47591.82,,,
Dallas/Ft. Worth,Weekly,3/20/22 0:00,Conventional,1.069397922,1439692.12,784906.98,183512.26,10575.33,460697.56,,,
Denver,Weekly,3/20/22 0:00,Conventional,1.517466391,834291.24,374500.38,124008.39,135886.88,199895.59,,,
Detroit,Weekly,3/20/22 0:00,Conventional,1.219952267,484375.4,333931.57,30987.63,25465.6,93990.6,,,
Grand Rapids,Weekly,3/20/22 0:00,Conventional,1.568758807,168938.26,64284.6,20297.69,25106.65,59249.32,,,
Harrisburg/Scranton,Weekly,3/20/22 0:00,Conventional,1.408405353,386036.65,176231.84,58110.17,837.39,150857.26,,,
Hartford/Springfield,Weekly,3/20/22 0:00,Conventional,1.508456067,344012.46,54701.25,192061.16,2088.74,95161.31,,,
Houston,Weekly,3/20/22 0:00,Conventional,1.118098884,933684.03,593382.73,147534.64,9565.93,183200.74,,,
Indianapolis,Weekly,3/20/22 0:00,Conventional,1.181440427,277363.55,184293.48,33522.95,1050.65,58496.47,,,
Jacksonville,Weekly,3/20/22 0:00,Conventional,1.422166215,214610.95,139877.85,10329.92,715.69,63687.48,,,
Las Vegas,Weekly,3/20/22 0:00,Conventional,1.267856707,371760.38,217682.18,48583.66,977.7,104516.84,,,
Los Angeles,Weekly,3/20/22 0:00,Conventional,1.391089633,2792103.31,1628158.9,57181.39,393987.16,712775.86,,,
Louisville,Weekly,3/20/22 0:00,Conventional,1.160485034,135601.2,84010.99,16774.23,208.89,34607.09,,,
Miami/Ft. Lauderdale,Weekly,3/20/22 0:00,Conventional,1.516437919,858396.82,627547.7,29814.36,4283.88,196750.88,,,
Nashville,Weekly,3/20/22 0:00,Conventional,1.229880061,305741.74,185803.46,25916.91,383.15,93638.23,,,
Northern New England,Weekly,3/20/22 0:00,Conventional,1.438889675,446720.12,213793.51,150911.27,456.46,81558.89,,,
New Orleans/Mobile,Weekly,3/20/22 0:00,Conventional,1.298572568,288872.03,150733.96,16196.31,1239.86,120701.9,,,
New York,Weekly,3/20/22 0:00,Conventional,1.616401519,1632387.65,327499.79,720652.42,11477.17,572758.28,,,
Orlando,Weekly,3/20/22 0:00,Conventional,1.410011411,513683.22,328672.59,12037.66,1571.42,171401.54,,,
Peoria/Springfield,Weekly,3/20/22 0:00,Conventional,1.170326859,152882.12,86286.34,12941.96,3956.75,49697.07,,,
Philadelphia,Weekly,3/20/22 0:00,Conventional,1.397345897,595796.11,217540.41,114178.55,1924.63,262152.52,,,
Phoenix/Tucson,Weekly,3/20/22 0:00,Conventional,1.19341687,1178051.43,761772.82,233441.66,18255.18,164581.77,,,
Pittsburgh,Weekly,3/20/22 0:00,Conventional,1.500293177,161587.65,97314.15,2953.3,504.21,60815.99,,,
Portland,Weekly,3/20/22 0:00,Conventional,1.574065149,528569.89,241420.78,154240.2,32898.12,100010.79,,,
Providence,Weekly,3/20/22 0:00,Conventional,1.699358614,89869.85,23649.45,45107.48,189.81,20923.12,,,
Raleigh/Greensboro,Weekly,3/20/22 0:00,Conventional,1.341616353,452768.63,205487.32,69951.56,2993.9,174335.86,,,
Richmond/Norfolk,Weekly,3/20/22 0:00,Conventional,1.242737516,346356.35,196226.14,45777.71,994.04,103358.46,,,
Roanoke,Weekly,3/20/22 0:00,Conventional,1.139139873,205288.75,133450.09,21010.25,143.22,50685.19,,,
Sacramento,Weekly,3/20/22 0:00,Conventional,1.568281977,407128.29,209798,97290.54,7411.66,92628.09,,,
San Diego,Weekly,3/20/22 0:00,Conventional,1.360364173,519637.78,281775.55,18351.55,63471.31,156039.36,,,
San Francisco,Weekly,3/20/22 0:00,Conventional,1.443025418,775744.89,521542.23,101569.02,8323.85,144309.79,,,
Seattle,Weekly,3/20/22 0:00,Conventional,1.820157201,473278.92,184756.48,173391.06,2979.24,112152.14,,,
South Carolina,Weekly,3/20/22 0:00,Conventional,1.269616153,560215.09,298908.04,73378.04,1493.25,186435.77,,,
Spokane,Weekly,3/20/22 0:00,Conventional,1.594200091,69984.2,33490.08,19115.35,145.94,17232.83,,,
St. Louis,Weekly,3/20/22 0:00,Conventional,1.166927474,247024.65,142736.08,14746.27,809.85,88732.45,,,
Syracuse,Weekly,3/20/22 0:00,Conventional,1.32188447,94026.82,28733.47,21616.27,354.32,43322.76,,,
Tampa,Weekly,3/20/22 0:00,Conventional,1.430650189,527120.23,376916.6,13796.92,1309.24,135097.46,,,
Toledo,Weekly,3/20/22 0:00,Conventional,1.21409755,146485.67,97235.26,17212.03,2823.49,29214.89,,,
West Tex/New Mexico,Weekly,3/20/22 0:00,Conventional,1.136451902,885704.3,388958.41,109073.29,5871.11,381801.5,,,
Wichita,Weekly,3/20/22 0:00,Conventional,1.09396857,110076.38,76440.21,6092.77,154.2,27389.2,,,
California,Weekly,3/20/22 0:00,Conventional,1.418124465,5692043.27,3364492.04,432211.82,540186.94,1355152.48,,,
Great Lakes,Weekly,3/20/22 0:00,Conventional,1.299670272,4349945.11,2365607.4,733050.62,185482.1,1065805,,,
Midsouth,Weekly,3/20/22 0:00,Conventional,1.298874081,4378275.87,2229264.21,592540.75,14650.65,1541820.25,,,
Northeast,Weekly,3/20/22 0:00,Conventional,1.491795028,4864400.52,1394286.4,1736161.75,16153.08,1717799.29,,,
Plains,Weekly,3/20/22 0:00,Conventional,1.33088314,2064036.74,1048105.18,302845,18458.94,694627.63,,,
South Central,Weekly,3/20/22 0:00,Conventional,1.149034652,5022281.54,2805598.85,580110.74,41071.84,1595500.11,,,
Southeast,Weekly,3/20/22 0:00,Conventional,1.34896887,5073283.83,3390653.02,335320.26,11201.71,1336108.84,,,
West,Weekly,3/20/22 0:00,Conventional,1.392064061,6168206.19,3194513.9,1221799.17,302050.01,1449843.11,,,
Total U.S.,Weekly,3/20/22 0:00,Conventional,1.34575158,37612473.08,19792520.99,5934040.11,1129255.27,10756656.71,,,
Albany,Weekly,3/20/22 0:00,Organic,1.696388324,4684.09,268.21,304.77,0.97,4110.14,,,
Atlanta,Weekly,3/20/22 0:00,Organic,1.757663888,44396.18,190.29,13150.37,0,31055.51,,,
Baltimore/Washington,Weekly,3/20/22 0:00,Organic,1.651463302,83539.64,1121.45,9885.32,2.08,72530.8,,,
Birmingham/Montgomery,Weekly,3/20/22 0:00,Organic,1.691046124,15069.06,78.61,789.1,0,14201.35,,,
Boise,Weekly,3/20/22 0:00,Organic,2.359703232,6280.13,0.94,3987.04,0,2292.15,,,
Boston,Weekly,3/20/22 0:00,Organic,1.856483995,34514.62,278.69,2185.72,0,32050.21,,,
Buffalo/Rochester,Weekly,3/20/22 0:00,Organic,1.651141431,16687.04,830.09,86.86,0,15770.09,,,
Charlotte,Weekly,3/20/22 0:00,Organic,1.691499468,28549.02,430.06,4838.83,26.92,23253.22,,,
Chicago,Weekly,3/20/22 0:00,Organic,1.827489608,57869.3,8994.92,16078.77,0,32795.6,,,
Cincinnati/Dayton,Weekly,3/20/22 0:00,Organic,1.95626055,16879.23,129.68,10263.92,0,6485.63,,,
Columbus,Weekly,3/20/22 0:00,Organic,1.71346762,11920.72,839.43,4064.92,0,7016.37,,,
Dallas/Ft. Worth,Weekly,3/20/22 0:00,Organic,1.550429192,51691.07,13312.5,1061.72,0,37316.86,,,
Denver,Weekly,3/20/22 0:00,Organic,1.672098844,44667.68,21721.66,772.04,0,22173.98,,,
Detroit,Weekly,3/20/22 0:00,Organic,1.556931995,28311.26,252.67,6233.51,0,21825.08,,,
Grand Rapids,Weekly,3/20/22 0:00,Organic,1.572100985,10500.93,33.36,914.33,0,9553.24,,,
Harrisburg/Scranton,Weekly,3/20/22 0:00,Organic,1.724716643,19966.23,715.19,509.46,0,18741.58,,,
Hartford/Springfield,Weekly,3/20/22 0:00,Organic,1.839497519,24867.78,503.67,4251.99,0,20112.13,,,
Houston,Weekly,3/20/22 0:00,Organic,1.382439846,28250.52,8775.48,656.12,0,18818.92,,,
Indianapolis,Weekly,3/20/22 0:00,Organic,1.854468243,10528.85,239.17,3497.43,0,6792.25,,,
Jacksonville,Weekly,3/20/22 0:00,Organic,1.288013717,32806.93,75.14,366.44,0,32365.34,,,
Las Vegas,Weekly,3/20/22 0:00,Organic,1.712831306,17837.39,4824.87,3305.82,0,9706.69,,,
Los Angeles,Weekly,3/20/22 0:00,Organic,1.843758617,152641.5,75276.6,5754.12,0,71610.79,,,
Louisville,Weekly,3/20/22 0:00,Organic,1.787177306,8180.8,21.13,4237.78,0,3921.89,,,
Miami/Ft. Lauderdale,Weekly,3/20/22 0:00,Organic,1.240399241,143995.02,1266.46,777.13,0,141951.43,,,
Nashville,Weekly,3/20/22 0:00,Organic,1.716077882,22575.16,70.49,6029.9,0,16474.77,,,
Northern New England,Weekly,3/20/22 0:00,Organic,1.936337308,17518.44,1867.84,245.4,0,15405.2,,,
New Orleans/Mobile,Weekly,3/20/22 0:00,Organic,1.420950196,12687.66,313.67,142.49,0,12231.5,,,
New York,Weekly,3/20/22 0:00,Organic,1.868441889,122006.8,10188.12,9852.78,0,101965.9,,,
Orlando,Weekly,3/20/22 0:00,Organic,1.215227564,102589.84,191.72,150.46,0,102247.66,,,
Peoria/Springfield,Weekly,3/20/22 0:00,Organic,1.82003639,5758.14,50.4,1362.64,0,4345.1,,,
Philadelphia,Weekly,3/20/22 0:00,Organic,1.881710941,30684.03,1576.58,3649.96,0,25457.48,,,
Phoenix/Tucson,Weekly,3/20/22 0:00,Organic,1.556408282,35570.11,9538.04,6744.6,0,19287.48,,,
Pittsburgh,Weekly,3/20/22 0:00,Organic,1.776780224,10655.89,1620.97,1.98,0,9032.94,,,
Portland,Weekly,3/20/22 0:00,Organic,2.287584927,44121.17,1199.75,26942.86,0,15978.56,,,
Providence,Weekly,3/20/22 0:00,Organic,1.788237248,6152.91,63.45,12.11,0,6077.35,,,
Raleigh/Greensboro,Weekly,3/20/22 0:00,Organic,1.629315399,34268.03,1015.81,5193.62,74.48,27984.13,,,
Richmond/Norfolk,Weekly,3/20/22 0:00,Organic,1.538576338,28313.24,265.25,4005.22,1,24041.76,,,
Roanoke,Weekly,3/20/22 0:00,Organic,1.638690166,11468.2,155.56,2728.47,0,8584.16,,,
Sacramento,Weekly,3/20/22 0:00,Organic,1.937841476,24625.35,6191.19,3423.04,0,15011.12,,,
San Diego,Weekly,3/20/22 0:00,Organic,2.015240331,29455.12,15276.31,1528.6,0,12650.21,,,
San Francisco,Weekly,3/20/22 0:00,Organic,2.069206186,76388.34,22995.28,6759.08,0,46633.98,,,
Seattle,Weekly,3/20/22 0:00,Organic,2.281898284,68265.31,780.44,50878.93,0,16605.94,,,
South Carolina,Weekly,3/20/22 0:00,Organic,1.532689628,44740.64,785.62,5151.06,47.15,38756.8,,,
Spokane,Weekly,3/20/22 0:00,Organic,2.328397464,4890.44,85.37,2688.51,0,2116.56,,,
St. Louis,Weekly,3/20/22 0:00,Organic,1.748674722,13613.63,1323.49,2963.89,0,9326.24,,,
Syracuse,Weekly,3/20/22 0:00,Organic,1.553870613,6419.84,333.84,95.15,0,5990.85,,,
Tampa,Weekly,3/20/22 0:00,Organic,1.137231552,99766.53,121.71,170.63,0,99474.19,,,
Toledo,Weekly,3/20/22 0:00,Organic,1.73517969,5087.87,191.2,1634.68,0,3262,,,
West Tex/New Mexico,Weekly,3/20/22 0:00,Organic,1.2288639,44191.85,9559.44,1408.15,0,33224.26,,,
Wichita,Weekly,3/20/22 0:00,Organic,1.572308245,4764.86,1815.12,0,0,2949.74,,,
California,Weekly,3/20/22 0:00,Organic,1.936449456,349053.3,144169.32,24417.91,0,180466.06,,,
Great Lakes,Weekly,3/20/22 0:00,Organic,1.775489413,209498.73,20463.78,51593.92,0,137441.04,,,
Midsouth,Weekly,3/20/22 0:00,Organic,1.651739985,310280.6,4693.85,55480.74,165.32,249940.69,,,
Northeast,Weekly,3/20/22 0:00,Organic,1.821833005,314807.21,17366.17,22660.41,1.01,274779.62,,,
Plains,Weekly,3/20/22 0:00,Organic,1.694331456,65668.81,11829.58,4300.11,0,49539.12,,,
South Central,Weekly,3/20/22 0:00,Organic,1.496845754,174527.91,34128.94,6330.75,0,134068.22,,,
Southeast,Weekly,3/20/22 0:00,Organic,1.290501168,640843.27,3351.75,26753.97,52.47,610685.08,,,
West,Weekly,3/20/22 0:00,Organic,1.91258539,356255.51,67082.49,126852.53,0,162320.49,,,
Total U.S.,Weekly,3/20/22 0:00,Organic,1.658367321,2420935.34,303085.88,318390.35,218.8,1799240.32,,,
Albany,Weekly,3/27/22 0:00,Conventional,1.220745639,125866.76,38106.68,59475.36,487.03,27797.68,,,
Atlanta,Weekly,3/27/22 0:00,Conventional,1.123738675,804547.88,543720.04,106218.14,1104.89,153504.8,,,
Baltimore/Washington,Weekly,3/27/22 0:00,Conventional,1.3807391,1175862.21,433532.1,180741.71,5281.38,556307.02,,,
Birmingham/Montgomery,Weekly,3/27/22 0:00,Conventional,1.331708935,330488.42,205061.19,24425.75,1007.67,99993.81,,,
Boise,Weekly,3/27/22 0:00,Conventional,1.701353764,97369.65,52733.83,12467.48,11048.61,21119.73,,,
Boston,Weekly,3/27/22 0:00,Conventional,1.685886831,589307.86,145165.35,289249.69,1360.59,153532.22,,,
Buffalo/Rochester,Weekly,3/27/22 0:00,Conventional,1.372944306,215237.97,48125.55,41270.4,1245.51,124596.51,,,
Charlotte,Weekly,3/27/22 0:00,Conventional,1.37622839,411746.55,153515.63,56416.11,3450.35,198364.47,,,
Chicago,Weekly,3/27/22 0:00,Conventional,1.445545007,995506.88,374142.09,248036.63,83146.86,290181.31,,,
Cincinnati/Dayton,Weekly,3/27/22 0:00,Conventional,1.373453172,308765.11,223526.15,41529,380.59,43329.37,,,
Columbus,Weekly,3/27/22 0:00,Conventional,1.359659888,251132.63,169493.91,31420.87,457.36,49760.49,,,
Dallas/Ft. Worth,Weekly,3/27/22 0:00,Conventional,1.051638441,1500150.83,783741.35,180577.78,10842.39,524989.31,,,
Denver,Weekly,3/27/22 0:00,Conventional,1.508335869,825070.45,422110.02,127860.96,73198.88,201900.59,,,
Detroit,Weekly,3/27/22 0:00,Conventional,1.403890857,436967.68,257236.28,54035.35,24466.18,101229.86,,,
Grand Rapids,Weekly,3/27/22 0:00,Conventional,1.63716712,177458.52,46428.66,40376.51,29860.47,60792.87,,,
Harrisburg/Scranton,Weekly,3/27/22 0:00,Conventional,1.355817508,412628.97,192200.05,67361.75,830.87,152236.29,,,
Hartford/Springfield,Weekly,3/27/22 0:00,Conventional,1.503820271,374235.33,58306.79,217314.95,5803.33,92810.26,,,
Houston,Weekly,3/27/22 0:00,Conventional,1.122714048,973850.44,597279.9,152780.84,12857.12,210932.58,,,
Indianapolis,Weekly,3/27/22 0:00,Conventional,1.289241664,262258.6,168512.73,30024.95,942.98,62777.95,,,
Jacksonville,Weekly,3/27/22 0:00,Conventional,1.398599666,218605.52,139849.3,8681.35,666.6,69408.28,,,
Las Vegas,Weekly,3/27/22 0:00,Conventional,1.396718639,385425.18,232735.94,36046.9,18853.72,97788.62,,,
Los Angeles,Weekly,3/27/22 0:00,Conventional,1.424275826,2970625.05,1852503.87,53192.38,381231.69,683697.12,,,
Louisville,Weekly,3/27/22 0:00,Conventional,1.196783481,131109.3,74216.1,19488.85,251.79,37152.56,,,
Miami/Ft. Lauderdale,Weekly,3/27/22 0:00,Conventional,1.503244989,842130.09,614712.84,30112.35,4261.32,193043.58,,,
Nashville,Weekly,3/27/22 0:00,Conventional,1.253235907,309233.55,182186.41,27072.28,458.97,99515.89,,,
Northern New England,Weekly,3/27/22 0:00,Conventional,1.413393134,452583.12,204048.66,144101.65,463.24,103969.56,,,
New Orleans/Mobile,Weekly,3/27/22 0:00,Conventional,1.303008342,292064.78,147602.1,14537.75,990.84,128934.09,,,
New York,Weekly,3/27/22 0:00,Conventional,1.60784422,1806843.75,345429.95,869911.23,14656.03,576846.54,,,
Orlando,Weekly,3/27/22 0:00,Conventional,1.404684296,512612.82,323353.53,13023.33,1913.61,174322.35,,,
Peoria/Springfield,Weekly,3/27/22 0:00,Conventional,1.216736001,152140.52,81055.21,15572.28,3369.48,52143.56,,,
Philadelphia,Weekly,3/27/22 0:00,Conventional,1.353091617,655253.42,236007.2,139796,2008.32,277441.91,,,
Phoenix/Tucson,Weekly,3/27/22 0:00,Conventional,1.186101333,1382749.62,911970.45,295692.95,17486.7,157599.53,,,
Pittsburgh,Weekly,3/27/22 0:00,Conventional,1.487980534,165733.96,101215.14,3322.42,450.03,60746.37,,,
Portland,Weekly,3/27/22 0:00,Conventional,1.57471753,588747.63,288751.28,147438.96,33723.81,118833.58,,,
Providence,Weekly,3/27/22 0:00,Conventional,1.687054019,93929.83,23191.57,48091.7,203.36,22443.21,,,
Raleigh/Greensboro,Weekly,3/27/22 0:00,Conventional,1.357286632,472130.75,194991.43,64784.8,2991.4,209363.12,,,
Richmond/Norfolk,Weekly,3/27/22 0:00,Conventional,1.286089682,333234.74,181979.04,44509.03,981.79,105764.89,,,
Roanoke,Weekly,3/27/22 0:00,Conventional,1.200470629,200588.38,122198.25,21983.55,157.29,56249.3,,,
Sacramento,Weekly,3/27/22 0:00,Conventional,1.644301272,469438.06,248557.8,126577.28,6150.41,88152.57,,,
San Diego,Weekly,3/27/22 0:00,Conventional,1.382353664,563387.31,335011.54,21120.59,62670.98,144584.2,,,
San Francisco,Weekly,3/27/22 0:00,Conventional,1.721965639,945829.43,701286.24,109614.6,8166.86,126761.73,,,
Seattle,Weekly,3/27/22 0:00,Conventional,1.883642575,464753.57,197255.44,177086.53,3554.53,86857.08,,,
South Carolina,Weekly,3/27/22 0:00,Conventional,1.292443133,550627.63,282682.87,70048.58,1474.7,196421.48,,,
Spokane,Weekly,3/27/22 0:00,Conventional,1.684774316,66627.87,30340.73,22351.44,202.06,13733.64,,,
St. Louis,Weekly,3/27/22 0:00,Conventional,1.171338675,254692.76,150844.13,14288.6,709.92,88850.1,,,
Syracuse,Weekly,3/27/22 0:00,Conventional,1.304961081,101608.55,28519.4,25776.44,365.13,46947.59,,,
Tampa,Weekly,3/27/22 0:00,Conventional,1.421468219,520218.07,366311.52,13359.95,1494.5,139052.1,,,
Toledo,Weekly,3/27/22 0:00,Conventional,1.366866521,136152.52,84679.38,16274.01,3172.28,32026.85,,,
West Tex/New Mexico,Weekly,3/27/22 0:00,Conventional,1.168299583,877622.67,374006.46,115737.87,6037.8,381840.54,,,
Wichita,Weekly,3/27/22 0:00,Conventional,1.124020168,107829.11,73524.8,6078.14,170.71,28055.46,,,
California,Weekly,3/27/22 0:00,Conventional,1.505140917,6328611.51,4012404.07,504552.42,522950.01,1288705,,,
Great Lakes,Weekly,3/27/22 0:00,Conventional,1.384591996,4235758.1,2132363.73,789839.24,196868.4,1116686.73,,,
Midsouth,Weekly,3/27/22 0:00,Conventional,1.313255528,4432033.25,2126364.87,579748.94,16593.57,1709325.87,,,
Northeast,Weekly,3/27/22 0:00,Conventional,1.476090898,5243122.92,1436184.65,2007013.84,20667.65,1779256.79,,,
Plains,Weekly,3/27/22 0:00,Conventional,1.365035498,2084678.08,1058506.08,282361.47,18336.13,725474.4,,,
South Central,Weekly,3/27/22 0:00,Conventional,1.144575166,5134013.56,2795312.31,576263.69,42442.74,1719994.81,,,
Southeast,Weekly,3/27/22 0:00,Conventional,1.343503634,5052486.19,3341686.01,323399.89,11998.12,1375402.17,,,
West,Weekly,3/27/22 0:00,Conventional,1.421314096,6373664.05,3478116.63,1330398.92,229429.58,1335718.92,,,
Total U.S.,Weekly,3/27/22 0:00,Conventional,1.376360384,38884367.65,20380938.35,6393578.42,1059286.2,11050564.69,,,
Albany,Weekly,3/27/22 0:00,Organic,1.748356876,5184.67,239.23,466.06,1.94,4477.44,,,
Atlanta,Weekly,3/27/22 0:00,Organic,1.732557512,48466.27,124.22,11099.42,0,37242.62,,,
Baltimore/Washington,Weekly,3/27/22 0:00,Organic,1.744014463,72724.26,914.91,7430.44,6.25,64372.65,,,
Birmingham/Montgomery,Weekly,3/27/22 0:00,Organic,1.650615728,16974.94,66.28,724.35,0,16184.31,,,
Boise,Weekly,3/27/22 0:00,Organic,2.236553991,6375.23,0.94,3271.04,0,3103.25,,,
Boston,Weekly,3/27/22 0:00,Organic,1.821069539,34820.61,357.04,2052.78,0,32410.79,,,
Buffalo/Rochester,Weekly,3/27/22 0:00,Organic,1.66851288,17964.42,979.12,120.5,0,16864.8,,,
Charlotte,Weekly,3/27/22 0:00,Organic,1.71268031,25707.97,346.33,2907.89,6.22,22447.53,,,
Chicago,Weekly,3/27/22 0:00,Organic,1.738504245,67365.14,9258.54,15273.89,0,42832.71,,,
Cincinnati/Dayton,Weekly,3/27/22 0:00,Organic,2.084871962,18851.18,74.07,9296.49,0,9480.62,,,
Columbus,Weekly,3/27/22 0:00,Organic,1.886928966,12592.54,791.84,4063.65,0,7737.04,,,
Dallas/Ft. Worth,Weekly,3/27/22 0:00,Organic,1.556479466,56877.5,15074.89,933.86,0,40868.75,,,
Denver,Weekly,3/27/22 0:00,Organic,1.88548414,45330.33,21833.58,677.38,0,22819.37,,,
Detroit,Weekly,3/27/22 0:00,Organic,1.589777488,30245.29,353.63,4409.03,0,25482.62,,,
Grand Rapids,Weekly,3/27/22 0:00,Organic,1.504298288,12844.84,43.55,885.49,0,11915.79,,,
