INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,TUITIONFEE_IN,TUITIONFEE_OUT,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10
The Beauty Institute-Ambler,Ambler,PA,19002,National Accrediting Commission of Career Arts and Sciences,ambler.thebeautyinstituteskp.edu/,1,2,1,1,3,42,2,21,40.154233,-75.222204,NA,NA,156,NA,0.3205,0.3718,0.1667,0.0128,0,0,NA,NA,8028,9583,4750,23600,24785
American College of Financial Services,King of Prussia,PA,19406,Middle States Commission on Higher Education,https://www.theamericancollege.edu/,1,1,0,0,2,42,2,21,40.101644,-75.394652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,
Automotive Training Center-Exton,Exton,PA,19341-1310,Accrediting Commission of Career Schools and Colleges,www.autotraining.edu/,1,2,1,1,3,42,2,21,40.058206,-75.643079,NA,NA,348,NA,0.5661,0.0718,0.3247,0.0115,0,0,NA,NA,12661,15665,5500,44900,51112
Clarks Summit University,Clarks Summit,PA,18411-1250,Middle States Commission on Higher Education,https://www.clarkssummitu.edu/,1,1,3,4,2,42,2,21,41.495062,-75.685472,0.652,NA,376,NA,0.8005,0.0399,0.0798,0.0133,0.008,0,29700,29700,14500,18034,9500,35200,38818
Community College of Beaver County,Monaca,PA,15061-2588,Middle States Commission on Higher Education,https://www.ccbc.edu/,1,1,2,2,1,42,2,21,40.655601,-80.305876,NA,NA,1151,NA,0.7863,0.0904,0.0374,0.0061,0.0052,0,7020,19170,9500,14923,6593,44900,45090
Arcadia University,Glenside,PA,19038-3295,Middle States Commission on Higher Education,https://www.arcadia.edu/,1,1,3,4,2,42,2,21,40.092606,-75.163876,0.7757,1212,1750,NA,0.6011,0.1291,0.0989,0.0514,0.0046,0,47130,47130,21852,27000,6250,48000,58336
Missio Theological Seminary,Philadelphia,PA,19123,Middle States Commission on Higher Education,www.missio.edu/,1,1,4,4,2,42,2,11,39.959026,-75.150056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,
Bryn Mawr College,Bryn Mawr,PA,19010,Middle States Commission on Higher Education,www.brynmawr.edu/,1,1,3,4,2,42,2,21,40.02736,-75.313223,0.3075,1404,1402,NA,0.5107,0.0506,0.1013,0.1106,0.0007,0,59330,59330,21441,25000,9250,61000,75217
Bucknell University,Lewisburg,PA,17837,Middle States Commission on Higher Education,www.bucknell.edu/,1,1,3,4,2,42,2,32,40.954317,-76.882616,0.3255,1405,3732,NA,0.7567,0.0413,0.0726,0.045,0.0003,0.0005,61746,61746,23250,27000,8365,82400,93807
Bucks County Community College,Newtown,PA,18940-4106,Middle States Commission on Higher Education,www.bucks.edu/,1,3,2,2,1,42,2,41,40.239102,-74.965841,NA,NA,5298,NA,0.7001,0.0629,0.1144,0.0534,0.0034,0.0011,4751,13421,8250,12000,5547,42300,47324
Bucks County School of Beauty Culture Inc,Feasterville,PA,19053-7368,National Accrediting Commission of Career Arts and Sciences,www.bcsbc.edu/,1,1,1,1,3,42,2,21,40.166449,-75.007054,NA,NA,98,NA,0.7449,0.1633,0.0612,0.0204,0,0,NA,NA,7709,PS,PS,24300,27341
Butler Beauty Academy,Butler,PA,16001,National Accrediting Commission of Career Arts and Sciences,beautyacademies.net/,1,3,1,1,3,42,2,31,40.859152,-79.895107,NA,NA,30,NA,0.9,0,0.0667,0.0333,0,0,NA,NA,7481,7500,4000,17700,23003
Butler County Community College,Butler,PA,16002,Middle States Commission on Higher Education,www.bc3.edu/,1,1,2,2,1,42,2,31,40.829364,-79.911433,NA,NA,1972,NA,0.8692,0.0259,0.0279,0.0137,0.0015,0,5460,11550,5500,10020,5500,35200,38891
Cabrini University,Radnor,PA,19087-3698,Middle States Commission on Higher Education,www.cabrini.edu/,1,1,3,4,2,42,2,21,40.056355,-75.375263,0.7852,1120,1145,NA,0.5459,0.2114,0.1284,0.0253,0.0009,0,34665,34665,19500,26000,9500,49600,59038
Carlow University,Pittsburgh,PA,15213-3165,Middle States Commission on Higher Education,www.carlow.edu/,1,1,3,4,2,42,2,11,40.439293,-79.963448,0.927,950,1243,NA,0.6935,0.1866,0.0282,0.0306,0.0056,0,33500,33500,21513,25500,12000,44200,51051
Carnegie Mellon University,Pittsburgh,PA,15213-3890,Middle States Commission on Higher Education,www.cmu.edu/,1,1,3,4,2,42,2,11,40.44357,-79.941993,0.113,1546,7005,NA,0.2176,0.0407,0.1048,0.3372,0.0003,0.0006,61344,61344,20250,21750,15097,103000,114862
Cedar Crest College,Allentown,PA,18104-6196,Middle States Commission on Higher Education,www.cedarcrest.edu/,1,1,3,4,2,42,2,12,40.586318,-75.519221,0.8425,1075,933,NA,0.5413,0.0922,0.1533,0.0397,0,0,43643,43643,23044,27000,11000,48700,59460
Central Penn College,Summerdale,PA,17093-0309,Middle States Commission on Higher Education,https://www.centralpenn.edu/,1,1,3,4,3,42,2,21,40.3049,-76.934461,0.3399,NA,844,NA,0.4882,0.1943,0.1244,0.0273,0.0083,0,19404,19404,13035,23194,7667,37700,45370
Chatham University,Pittsburgh,PA,15232,Middle States Commission on Higher Education,www.chatham.edu/,1,1,3,4,2,42,2,11,40.448432,-79.926083,0.6633,1175,1207,NA,0.7672,0.0621,0.0563,0.0373,0.0017,0,42125,42125,18326,23250,7500,43400,52410
Chestnut Hill College,Philadelphia,PA,19118-2693,Middle States Commission on Higher Education,www.chc.edu/,1,1,3,4,2,42,2,11,40.08678,-75.228742,0.9819,NA,939,NA,0.3312,0.2929,0.1331,0.0117,0.0021,0,39410,39410,20782,26389,11416,46800,52015
Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,Middle States Commission on Higher Education,www.cheyney.edu/,1,1,3,3,1,42,2,21,39.932274,-75.529262,NA,NA,686,NA,0.0117,0.8513,0.0466,0.0087,0.0044,0,10904,18870,13000,21785,11000,31600,37837
Citizens School of Nursing,Tarentum,PA,15084,Accreditation Commission for Education in Nursing,https://www.ahn.org/education/citizens-school-nursing,1,1,1,1,2,42,2,21,40.573248,-79.798934,0.119,NA,78,NA,0.9359,0.0256,0.0128,0,0,0,NA,NA,12000,15250,5500,59600,69939
DLP Conemaugh Memorial Medical Center,Johnstown,PA,15905-4398,Accreditation Commission for Education in Nursing,www.conemaugh.org/education,1,1,1,1,3,42,2,13,40.305445,-78.918445,0.4211,NA,155,NA,0.9484,0.0258,0,0.0065,0,0,NA,NA,12000,12000,5500,56600,65740
Curtis Institute of Music,Philadelphia,PA,19103,Middle States Commission on Higher Education,www.curtis.edu/,1,1,3,4,2,42,2,11,39.948857,-75.170727,0.0966,NA,103,NA,0.3786,0.0291,0.0291,0.1262,0,0,5930,5930,,,PS,PS,
Delaware County Community College,Media,PA,19063-1094,Middle States Commission on Higher Education,www.dccc.edu/,1,1,2,2,1,42,2,21,39.966724,-75.39308,NA,NA,7992,NA,0.474,0.2899,0.0822,0.0581,0.0024,0.0014,6420,14400,8176,13250,7000,42000,45391
Delaware Valley University,Doylestown,PA,18901-2697,Middle States Commission on Higher Education,www.delval.edu/,1,1,3,4,2,42,2,21,40.298659,-75.158452,0.9543,1117,1631,NA,0.7032,0.0987,0.0871,0.0123,0.0025,0.0012,42120,42120,17500,25000,9000,44700,55838
Dickinson College,Carlisle,PA,17013-2896,Middle States Commission on Higher Education,https://www.dickinson.edu/,1,1,3,3,2,42,2,13,40.202796,-77.197854,0.3492,NA,2083,NA,0.6519,0.0451,0.0744,0.0523,0.0005,0.0005,61351,61351,17294,19000,7187,64100,70204
Douglas Education Center,Monessen,PA,15062,Accrediting Commission of Career Schools and Colleges,www.dec.edu/,1,1,1,2,3,42,2,23,40.161519,-79.888461,NA,NA,198,NA,0.7525,0.0707,0.096,0,0.0101,0.0051,18350,18350,12000,12000,5125,26300,30814
Drexel University,Philadelphia,PA,19104,Middle States Commission on Higher Education,https://drexel.edu/,1,1,3,4,2,42,2,11,39.955217,-75.190051,0.7961,1333,13933,NA,0.4494,0.0801,0.0796,0.2333,0.0006,0.0003,58965,58965,20204,25325,8750,78000,84648
Duquesne University,Pittsburgh,PA,15282,Middle States Commission on Higher Education,www.duq.edu/,1,1,3,4,2,42,2,11,40.43589,-79.993123,0.8749,1257,5087,NA,0.8009,0.0484,0.0462,0.0358,0.0014,0.0008,45376,45376,23500,26244,8250,68200,74742
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,Middle States Commission on Higher Education,https://www.esu.edu/,1,1,3,4,1,42,2,13,40.99599,-75.173905,0.9363,1069,4324,NA,0.5321,0.2026,0.1765,0.0185,0.0014,0.0019,10987,18953,16750,24218,9500,47200,56148
Eastern University,Saint Davids,PA,19087-3696,Middle States Commission on Higher Education,https://www.eastern.edu/about/student-consumer-information,1,1,3,4,2,42,2,21,40.050448,-75.370316,0.6323,NA,1692,NA,0.4303,0.2677,0.1401,0.0201,0.0012,0.0006,36464,36464,18000,25000,11482,48100,51655
Elizabethtown College,Elizabethtown,PA,17022-2298,Middle States Commission on Higher Education,www.etown.edu/,1,1,3,4,2,42,2,21,40.149236,-76.593224,0.8112,1191,1703,NA,0.8291,0.0282,0.0711,0.0223,0.0012,0,35670,35670,26000,27000,8750,55000,62399
Empire Beauty School-Lebanon,Lebanon,PA,17042,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,8,1,1,3,42,2,23,40.311029,-76.423302,NA,NA,37,NA,0.4324,0.1351,0.3784,0,0,0,NA,NA,6633,10667,4750,19900,22377
Empire Beauty School-York,York,PA,17402,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,13,1,1,3,42,2,22,39.972543,-76.674663,NA,NA,87,NA,0.2299,0.2414,0.2644,0,0,0,NA,NA,7851,10667,4750,22000,23921
Empire Beauty School-Lancaster,Lancaster,PA,17603,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,10,1,1,3,42,2,21,40.038813,-76.354033,NA,NA,83,NA,0.3133,0.1807,0.3976,0.0482,0,0,NA,NA,8028,13000,4750,24500,25073
Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,10,1,1,3,42,2,32,40.854559,-76.815891,NA,NA,66,NA,0.5152,0.0909,0.0606,0,0.0152,0,NA,NA,8028,13000,4750,24500,25073
Empire Beauty School-Pottsville,Pottsville,PA,17901,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,1,9,1,1,3,42,2,32,40.706451,-76.186417,NA,NA,67,NA,0.5821,0.0448,0.3284,0,0,0,NA,NA,6333,10231,4750,23000,23589
Empire Beauty  School-Lehigh Valley,Whitehall,PA,18052,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,1,10,1,1,3,42,2,21,40.63006,-75.485471,NA,NA,95,NA,0.1053,0.1579,0.3368,0.0105,0,0,NA,NA,8028,13000,4750,24500,25073
Empire Beauty School-Gwinnett,Lawrenceville,GA,30044-3045,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,9,1,1,3,13,5,21,33.939252,-84.121878,NA,NA,102,NA,0.0196,0.8333,0.0784,0,0,0,NA,NA,6333,10231,4750,23000,23589
Empire Beauty School-Wyoming Valley,Moosic,PA,18507,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,1,13,1,1,3,42,2,21,41.375743,-75.701735,NA,NA,141,NA,0.617,0.1064,0.1631,0.0142,0.0071,0,NA,NA,7851,10667,4750,22000,23921
Empire Beauty School-Harrisburg,Harrisburg,PA,17109,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,8,1,1,3,42,2,21,40.293647,-76.828798,NA,NA,138,NA,0.1667,0.2754,0.2101,0.058,0,0,NA,NA,6633,10667,4750,19900,22377
Empire Beauty School-Reading,Reading,PA,19605,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,0,13,1,1,3,42,2,21,40.370166,-75.927465,NA,NA,50,NA,0.22,0.14,0.42,0,0,0,NA,NA,7851,10667,4750,22000,23921
Erie Institute of Technology Inc,Erie,PA,16565,Accrediting Commission of Career Schools and Colleges,www.erieit.edu/,1,1,1,2,3,42,2,22,42.071725,-80.100853,NA,NA,136,NA,0.9044,0.0662,0.0074,0.0221,0,0,14194,14194,8835,10738,3668,35800,41951
Franklin and Marshall College,Lancaster,PA,17604-3003,Middle States Commission on Higher Education,www.fandm.edu/,1,1,3,3,2,42,2,13,40.048045,-76.319037,0.3623,1386,1986,NA,0.5619,0.0549,0.1032,0.0443,0.0015,0,65844,65844,19000,19000,8000,69200,76124
Gannon University,Erie,PA,16541-0001,Middle States Commission on Higher Education,www.gannon.edu/,1,1,3,4,2,42,2,13,42.128403,-80.087166,0.8085,NA,2588,NA,0.6696,0.0576,0.0491,0.0259,0.0004,0.0004,36706,36706,23031,27000,10500,55100,58845
Geneva College,Beaver Falls,PA,15010-3599,Middle States Commission on Higher Education,www.geneva.edu/,1,1,3,4,2,42,2,21,40.772518,-80.321826,0.7905,NA,1013,NA,0.8055,0.0573,0.0346,0.0138,0,0.001,30990,30990,18907,25198,5500,43300,50004
Gettysburg College,Gettysburg,PA,17325,Middle States Commission on Higher Education,https://www.gettysburg.edu/,1,1,3,3,2,42,2,13,39.836597,-77.236792,0.5631,1372,2236,NA,0.6668,0.047,0.1167,0.0318,0.0013,0.0009,61760,61760,23250,26999,8750,66300,71517
Empire Beauty School-NE Philadelphia,Philadelphia,PA,19154,National Accrediting Commission of Career Arts and Sciences,www.empire.edu/,1,8,1,1,3,42,2,11,40.084983,-74.971093,NA,NA,86,NA,0.1744,0.4535,0.2558,0,0,0,NA,NA,7050,13583,4750,25900,24407
Gratz College,Melrose Park,PA,19027-3010,Middle States Commission on Higher Education,https://www.gratz.edu/,1,1,3,4,2,42,2,21,40.067206,-75.133915,NA,NA,107,NA,0.8879,0,0,0,0,0,NA,NA,,,PS,NA,
Grove City College,Grove City,PA,16127-2104,Middle States Commission on Higher Education,www.gcc.edu/,1,1,3,3,2,42,2,32,41.1558,-80.081481,0.7098,1277,2160,NA,0.9083,0.0042,0.0074,0.0222,0,0,19990,19990,,,NA,NA,
Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,Middle States Commission on Higher Education,https://www.gmercyu.edu/,1,1,3,4,2,42,2,21,40.19774,-75.237224,0.5842,1110,1217,NA,0.6196,0.166,0.0707,0.0649,0.0016,0,37052,37052,23256,25000,9250,56500,67145
Harcum College,Bryn Mawr,PA,19010-3476,Middle States Commission on Higher Education,https://www.harcum.edu/s/1044/edu/start.aspx,1,1,2,2,2,42,2,21,40.022582,-75.314801,NA,NA,887,NA,0.2999,0.434,0.1421,0.0271,0.0023,0.0045,28240,28240,12000,18440,6333,47700,46827
Harrisburg Area Community College,Harrisburg,PA,17110-2999,Middle States Commission on Higher Education,www.hacc.edu/,1,5,2,2,1,42,2,13,40.296777,-76.886408,NA,NA,9854,NA,0.6087,0.1133,0.1399,0.0513,0.0027,0.0009,7088,10148,9500,17500,7718,37800,42007
Haverford College,Haverford,PA,19041-1392,Middle States Commission on Higher Education,https://www.haverford.edu/,1,1,3,3,2,42,2,21,40.007452,-75.305207,0.1421,1506,1417,NA,0.494,0.0529,0.1284,0.1235,0,0,63628,63628,12000,13621,5500,75100,79966
Commonwealth Technical Institute,Johnstown,PA,15905,Accrediting Commission of Career Schools and Colleges,www.dli.pa.gov/CTI-HGAC,1,1,1,2,2,42,2,23,40.301691,-78.947004,NA,NA,94,NA,0.6064,0.1702,0.0106,0,0,0,7664,7664,,,PS,14600,21632
Holy Family University,Philadelphia,PA,19114-2009,Middle States Commission on Higher Education,https://www.holyfamily.edu/,1,1,3,4,2,42,2,11,40.060581,-74.986451,0.7744,940,2124,NA,0.5777,0.1601,0.1238,0.0758,0.0024,0.0033,32558,32558,21175,25125,9500,54300,62235
Hussian College-Philadelphia,Philadelphia,PA,19130,NA,www.hussiancollege.edu/,1,6,3,3,3,42,2,11,39.962505,-75.164185,0.7097,NA,80,NA,0.1625,0.525,0.1375,0,0.0125,0,22225,22225,9500,18446,6242,36800,28806
Immaculata University,Immaculata,PA,19345,Middle States Commission on Higher Education,www.immaculata.edu/,1,1,3,4,2,42,2,21,40.027981,-75.570711,0.6974,1180,1248,NA,0.7188,0.1042,0.1066,0.0256,0.0008,0.0008,27750,27750,19560,27000,10542,54700,75701
Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,Middle States Commission on Higher Education,www.iup.edu/,1,1,3,4,1,42,2,32,40.617531,-79.159332,0.9194,1061,6611,NA,0.7553,0.105,0.052,0.0129,0.0065,0.0005,11320,18927,19995,26798,9415,44200,51019
UPMC Jameson School of Nursing,New Castle,PA,16105,Accreditation Commission for Education in Nursing,www.upmc.com/healthcare-professionals/education/schools-of-nursing/campuses/jameson,1,2,1,1,2,42,2,31,41.026499,-80.353,0.9231,NA,342,NA,0.6725,0.0789,0.0263,0.0088,0,0,14682,14682,9500,12000,2942,55300,70472
Great Lakes Institute of Technology,Erie,PA,16509-2482,Accrediting Commission of Career Schools and Colleges,www.glit.edu/,1,1,1,2,3,42,2,22,42.079508,-80.091816,NA,NA,350,NA,0.6829,0.1629,0.0514,0.0286,0,0,NA,NA,9014,11250,4595,24900,28704
Johnson College,Scranton,PA,18508-1495,Middle States Commission on Higher Education,www.johnson.edu/,1,1,2,2,2,42,2,13,41.450409,-75.642476,0.9608,NA,525,NA,0.8,0.0438,0.0762,0.0076,0.0076,0.0019,20025,20025,12000,12000,5500,40900,55194
Juniata College,Huntingdon,PA,16652-2196,Middle States Commission on Higher Education,www.juniata.edu/,1,1,3,4,2,42,2,32,40.500523,-78.017292,0.7616,1244,1116,NA,0.7151,0.0466,0.0771,0.0233,0.0009,0,54336,54336,23858,27000,8750,56800,56918
Keystone College,La Plume,PA,18440-0200,Middle States Commission on Higher Education,https://www.keystone.edu/,1,1,3,4,2,42,2,21,41.558969,-75.777456,0.8066,1030,1009,NA,0.666,0.1269,0.0872,0.005,0.0089,0.002,17450,17450,16250,26000,8250,36800,44976
King's College,Wilkes-Barre,PA,18711-0801,Middle States Commission on Higher Education,www.kings.edu/,1,1,3,4,2,42,2,13,41.250097,-75.879822,0.9599,1162,1595,NA,0.7442,0.0495,0.1122,0.0288,0.0025,0,41600,41600,22847,27000,8245,57500,59498
Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,16201,National Accrediting Commission of Career Arts and Sciences,beautyacademies.net/,0,3,1,1,3,42,2,32,40.813778,-79.52003,NA,NA,31,NA,0.9355,0,0.0323,0.0323,0,0,NA,NA,7481,7500,4000,17700,23003
Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,Middle States Commission on Higher Education,https://www.kutztown.edu/,1,1,3,4,1,42,2,31,40.513561,-75.783933,0.9614,1140,6334,NA,0.7185,0.0751,0.1134,0.0227,0.0013,0.0009,11230,15628,20000,26000,9500,43900,53775
La Roche University,Pittsburgh,PA,15237-5898,Middle States Commission on Higher Education,www.laroche.edu/,1,1,3,4,2,42,2,21,40.568615,-80.014851,0.9736,1094,794,NA,0.5718,0.0403,0.0353,0.0101,0,0.0441,32284,32284,19470,25000,8250,42800,52341
La Salle University,Philadelphia,PA,19141-1199,Middle States Commission on Higher Education,www.lasalle.edu/,1,1,3,4,2,42,2,11,40.037979,-75.153061,0.9425,1140,2275,NA,0.4571,0.2193,0.1776,0.0527,0.0013,0.0004,33890,33890,17500,25000,8750,61100,67416
Lackawanna College,Scranton,PA,18509-3206,Middle States Commission on Higher Education,https://www.lackawanna.edu/,1,1,2,3,2,42,2,13,41.411556,-75.658963,NA,NA,1800,NA,0.525,0.145,0.1556,0.0133,0.0044,0.0017,17340,17340,11500,18075,8250,36400,41000
Lafayette College,Easton,PA,18042-1768,Middle States Commission on Higher Education,https://www.lafayette.edu/,1,1,3,3,2,42,2,21,40.69956,-75.209786,0.3363,1410,2725,NA,0.6774,0.0536,0.0822,0.0411,0.0015,0,59368,59368,14000,16000,5500,80500,91410
Lancaster Bible College,Lancaster,PA,17601-5036,Middle States Commission on Higher Education,https://www.lbc.edu/,1,1,3,4,2,42,2,21,40.075347,-76.287761,0.9715,1121,1286,NA,0.619,0.2263,0.0319,0.0171,0.0016,0.0008,28460,28460,15000,20500,9319,37900,44096
Lancaster Theological Seminary,Lancaster,PA,17603-2897,Commission on Accrediting of the Association of Theological Schools,www.lancasterseminary.edu/,1,1,4,4,2,42,2,13,40.045235,-76.317631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PS,NA,
Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,17602,National Accrediting Commission of Career Arts and Sciences,lancasterschoolofcosmetology.com/,1,1,1,1,3,42,2,21,40.040746,-76.283649,NA,NA,88,NA,0.4205,0.0341,0.2273,0.0227,0,0,NA,NA,3167,3167,2750,27800,29738
Lansdale School of Business,North Wales,PA,19454-4114,Accrediting Commission of Career Schools and Colleges,www.lsb.edu/,1,1,1,2,3,42,2,21,40.22379,-75.284662,NA,NA,90,NA,0.3111,0.4778,0.1778,0.0333,0,0,11850,11850,9833,13492,5699,32500,37442
Lansdale School of Cosmetology Inc,Lansdale,PA,19446-2003,National Accrediting Commission of Career Arts and Sciences,www.lansdalecosmetology.com/,1,1,1,1,3,42,2,21,40.243302,-75.286281,NA,NA,55,NA,0.7091,0.0909,0.0727,0.0909,0,0,NA,NA,,,PS,PS,25019
Lebanon Valley College,Annville,PA,17003-1400,Middle States Commission on Higher Education,www.lvc.edu/,1,1,3,4,2,42,2,23,40.330604,-76.514431,0.7674,1201,1618,NA,0.8436,0.0278,0.0593,0.0235,0,0.0006,48620,48620,21000,27000,8450,48500,62621
Lehigh Carbon Community College,Schnecksville,PA,18078-2598,Middle States Commission on Higher Education,www.lccc.edu/,1,1,2,2,1,42,2,21,40.66474,-75.610715,NA,NA,4574,NA,0.5085,0.0875,0.3105,0.0297,0.0057,0.0015,5100,12960,6000,11000,5500,36400,42436
Miller-Motte College-Berks Technical Institute,Wyomissing,PA,19610-1168,Accrediting Commission of Career Schools and Colleges,https://www.berks.edu/,0,20,1,2,3,42,2,21,40.344627,-75.978873,NA,NA,311,NA,0.2701,0.1061,0.5048,0.0129,0.0064,0,NA,NA,10661,15917,6334,28100,31102
Lehigh University,Bethlehem,PA,18015,Middle States Commission on Higher Education,www.lehigh.edu/,1,1,3,4,2,42,2,13,40.606822,-75.380236,0.3698,1418,5612,NA,0.5973,0.0526,0.1021,0.0994,0.0009,0.0004,59930,59930,19500,21960,8289,94100,105584
Lincoln Technical Institute-Allentown,Allentown,PA,18104-9889,Accrediting Commission of Career Schools and Colleges,www.lincolntech.edu/campus/allentown-pa,0,7,1,2,3,42,2,21,40.591908,-75.568979,NA,NA,419,NA,0.2506,0.1337,0.3699,0.0095,0.0048,0,NA,NA,9500,11250,4750,43500,38683
Lincoln Technical Institute-Philadelphia,Philadelphia,PA,19136,Accrediting Commission of Career Schools and Colleges,www.lincolntech.edu/campus/philadelphia-pa,0,7,1,2,3,42,2,11,40.049548,-74.999686,NA,NA,299,NA,0.1137,0.3043,0.1538,0.01,0.0033,0,NA,NA,9500,11250,4750,43500,38683
Lincoln University,Lincoln University,PA,19352-0999,Middle States Commission on Higher Education,www.lincoln.edu/,1,1,3,4,1,42,2,21,39.807723,-75.926458,0.8061,952,1704,NA,0.0088,0.8281,0.0681,0.0006,0.0029,0.0006,11910,18456,22862,28250,12000,36200,43167
UPMC St. Margaret School of Nursing,Pittsburgh,PA,15238-3250,Accreditation Commission for Education in Nursing,https://www.upmc.com/stmargson,1,1,1,1,2,42,2,21,40.491687,-79.863106,0.9,NA,112,NA,0.6786,0.0893,0.0179,0.0089,0,0.0089,16190,16190,12000,15667,4750,50400,67327
United Lutheran Seminary,Gettysburg,PA,17325-1795,Commission on Accrediting of the Association of Theological Schools,https://www.unitedlutheranseminary.edu/,1,1,4,4,2,42,2,13,39.831701,-77.244111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PS,NA,
Luzerne County Community College,Nanticoke,PA,18634,Middle States Commission on Higher Education,www.luzerne.edu/,1,1,2,2,1,42,2,21,41.194728,-75.991095,NA,NA,3295,NA,0.5302,0.071,0.2039,0.0149,0.0049,0.0015,6000,15060,5500,11000,4500,35200,40437
Lycoming College,Williamsport,PA,17701-5192,Middle States Commission on Higher Education,https://www.lycoming.edu/,1,1,3,3,2,42,2,13,41.24666,-77,0.7522,1150,1046,NA,0.6128,0.1262,0.1405,0.0134,0.0019,0,45499,45499,23500,27000,8750,49400,56210
Manor College,Jenkintown,PA,19046-3399,Middle States Commission on Higher Education,www.manor.edu/,1,1,2,3,2,42,2,21,40.08714,-75.104786,0.9321,NA,461,NA,0.4208,0.3189,0.1779,0.0347,0.0022,0.0022,19414,19414,11250,19000,8750,41300,46825
Marywood University,Scranton,PA,18509-1598,Middle States Commission on Higher Education,https://www.marywood.edu/,1,1,3,4,2,42,2,13,41.434587,-75.634142,0.8076,1113,1793,NA,0.7769,0.0257,0.0976,0.0201,0.0022,0.0011,38226,38226,23235,26186,10250,43200,55817
Vet Tech Institute,Pittsburgh,PA,15222-3400,Accrediting Commission of Career Schools and Colleges,vti.edu/,1,1,2,2,3,42,2,11,40.443884,-80.000229,NA,NA,215,NA,0.814,0.0744,0.014,0.0093,0.0093,0,16100,16100,12292,13623,4662,26700,34583
Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,19128,Accreditation Commission for Education in Nursing,www.roxboroughmemorial.com/,1,1,1,1,3,42,2,11,40.028912,-75.209985,NA,NA,174,NA,0.5575,0.3046,0.046,0.0575,0,0,NA,NA,15306,20000,8875,71000,79323
Mercyhurst University,Erie,PA,16546,Middle States Commission on Higher Education,www.mercyhurst.edu/,1,2,3,4,2,42,2,13,42.10578,-80.053412,0.8055,NA,2367,NA,0.7664,0.0524,0.0477,0.0093,0.003,0,43460,43460,19500,25305,8250,44200,47452
Messiah University,Mechanicsburg,PA,17055,Middle States Commission on Higher Education,www.messiah.edu/,1,1,3,4,2,42,2,21,40.156579,-76.988269,0.7941,1229,2327,NA,0.78,0.0352,0.0782,0.0344,0.0009,0.0009,39490,39490,21911,25621,8724,50500,54064
ASPIRA City College,Philadelphia,PA,19140-2302,Accrediting Commission of Career Schools and Colleges,https://aspiracitycollege.edu/,1,1,1,2,2,42,2,11,40.017493,-75.135042,1,NA,11,NA,0,0.2727,0.7273,0,0,0,12147,12147,,,PS,23400,34857
Millersville University of Pennsylvania,Millersville,PA,17551-0302,Middle States Commission on Higher Education,www.millersville.edu/,1,1,3,4,1,42,2,21,40.000337,-76.357381,0.9242,1150,5697,NA,0.7448,0.09,0.0979,0.0328,0.0028,0.0011,12262,22232,17220,23507,9500,46000,55246
Misericordia University,Dallas,PA,18612-1098,Middle States Commission on Higher Education,www.misericordia.edu/,1,1,3,4,2,42,2,21,41.345277,-75.971541,0.8871,NA,1727,NA,0.8263,0.0359,0.0475,0.0133,0.0006,0.0012,35940,35940,24854,26973,8335,54400,64313
Montgomery County Community College,Blue Bell,PA,19422-0796,Middle States Commission on Higher Education,www.mc3.edu/,1,1,2,2,1,42,2,21,40.175609,-75.276093,NA,NA,7110,NA,0.5288,0.1738,0.1153,0.0588,0.0027,0.0015,5910,15390,7250,12349,5500,41100,46108
