ID,Crash Type,Light Condition
964,Not Head-On,Daylight
965,Not Head-On,Daylight
966,Not Head-On,Daylight
967,Not Head-On,Daylight
968,Head-on,Daylight
969,Not Head-On,Daylight
970,Not Head-On,Daylight
971,Not Head-On,Daylight
972,Not Head-On,Daylight
973,Not Head-On,Daylight
974,Not Head-On,Not Daylight
975,Not Head-On,Daylight
976,Head-on,Daylight
977,Not Head-On,Not Daylight
978,Not Head-On,Not Daylight
979,Not Head-On,Daylight
980,Not Head-On,Daylight
981,Not Head-On,Daylight
982,Head-on,Not Daylight
983,Not Head-On,Daylight
984,Not Head-On,Daylight
985,Not Head-On,Not Daylight
986,Not Head-On,Not Daylight
987,Not Head-On,Not Daylight
988,Not Head-On,Daylight
989,Not Head-On,Not Daylight
990,Not Head-On,Daylight
991,Not Head-On,Daylight
992,Not Head-On,Daylight
993,Not Head-On,Daylight
994,Not Head-On,Daylight
995,Not Head-On,Daylight
996,Not Head-On,Daylight
997,Not Head-On,Not Daylight
998,Not Head-On,Not Daylight
999,Not Head-On,Daylight
1000,Not Head-On,Daylight
1001,Not Head-On,Not Daylight
1002,Not Head-On,Not Daylight
1003,Not Head-On,Daylight
1004,Not Head-On,Daylight
1005,Not Head-On,Not Daylight
1006,Not Head-On,Daylight
1007,Not Head-On,Not Daylight
1008,Not Head-On,Not Daylight
1009,Not Head-On,Daylight
1010,Not Head-On,Not Daylight
1011,Not Head-On,Daylight
1012,Not Head-On,Daylight
1013,Not Head-On,Not Daylight
1014,Not Head-On,Daylight
1015,Not Head-On,Not Daylight
1016,Not Head-On,Daylight
1017,Not Head-On,Daylight
1018,Not Head-On,Daylight
1019,Not Head-On,Daylight
1020,Not Head-On,Daylight
1021,Not Head-On,Daylight
1022,Not Head-On,Daylight
1023,Not Head-On,Not Daylight
1024,Head-on,Not Daylight
1025,Head-on,Daylight
1026,Not Head-On,Daylight
1027,Not Head-On,Daylight
1028,Not Head-On,Daylight
1029,Not Head-On,Daylight
1030,Not Head-On,Daylight
1031,Not Head-On,Daylight
1032,Not Head-On,Not Daylight
1033,Not Head-On,Not Daylight
1034,Not Head-On,Not Daylight
1035,Not Head-On,Not Daylight
1036,Not Head-On,Not Daylight
1037,Not Head-On,Daylight
1038,Not Head-On,Not Daylight
1039,Not Head-On,Not Daylight
1040,Not Head-On,Not Daylight
1041,Not Head-On,Daylight
1042,Not Head-On,Daylight
1043,Not Head-On,Daylight
1044,Not Head-On,Daylight
1045,Not Head-On,Daylight
1046,Not Head-On,Not Daylight
1047,Not Head-On,Daylight
1048,Not Head-On,Not Daylight
1049,Not Head-On,Daylight
1050,Not Head-On,Not Daylight
1051,Not Head-On,Daylight
1052,Not Head-On,Daylight
1053,Not Head-On,Daylight
1054,Not Head-On,Not Daylight
1055,Not Head-On,Daylight
1056,Not Head-On,Not Daylight
1057,Not Head-On,Not Daylight
1058,Not Head-On,Daylight
1059,Not Head-On,Daylight
1060,Not Head-On,Daylight
1061,Not Head-On,Daylight
1062,Not Head-On,Daylight
1063,Not Head-On,Daylight
1064,Not Head-On,Not Daylight
1065,Not Head-On,Daylight
1066,Head-on,Daylight
1067,Not Head-On,Not Daylight
1068,Not Head-On,Daylight
1069,Not Head-On,Daylight
1070,Not Head-On,Daylight
1071,Not Head-On,Daylight
1072,Not Head-On,Daylight
1073,Not Head-On,Not Daylight
1074,Not Head-On,Daylight
1075,Not Head-On,Daylight
1076,Head-on,Daylight
1077,Not Head-On,Daylight
1078,Not Head-On,Daylight
1079,Not Head-On,Daylight
1080,Not Head-On,Daylight
1081,Not Head-On,Daylight
1082,Not Head-On,Daylight
1083,Not Head-On,Daylight
1084,Not Head-On,Daylight
1085,Not Head-On,Not Daylight
1086,Not Head-On,Daylight
1087,Not Head-On,Daylight
1088,Not Head-On,Daylight
1089,Not Head-On,Daylight
1090,Not Head-On,Daylight
1091,Not Head-On,Daylight
1092,Not Head-On,Not Daylight
1093,Not Head-On,Daylight
1094,Not Head-On,Daylight
1095,Not Head-On,Daylight
1096,Not Head-On,Not Daylight
1097,Not Head-On,Daylight
1098,Not Head-On,Daylight
1099,Not Head-On,Daylight
1100,Not Head-On,Daylight
1101,Not Head-On,Not Daylight
1102,Not Head-On,Daylight
1103,Not Head-On,Not Daylight
1104,Not Head-On,Daylight
1105,Not Head-On,Daylight
1106,Not Head-On,Daylight
1107,Not Head-On,Daylight
1108,Not Head-On,Daylight
1109,Not Head-On,Daylight
1110,Not Head-On,Not Daylight
1111,Not Head-On,Daylight
1112,Not Head-On,Daylight
1113,Not Head-On,Not Daylight
1114,Head-on,Daylight
1115,Not Head-On,Daylight
1116,Not Head-On,Daylight
1117,Not Head-On,Daylight
1118,Not Head-On,Daylight
1119,Not Head-On,Daylight
1120,Not Head-On,Not Daylight
1121,Not Head-On,Daylight
1122,Head-on,Daylight
1123,Not Head-On,Daylight
1124,Not Head-On,Not Daylight
1125,Not Head-On,Daylight
1126,Not Head-On,Not Daylight
1127,Not Head-On,Not Daylight
1128,Not Head-On,Not Daylight
1129,Not Head-On,Not Daylight
1130,Not Head-On,Daylight
1131,Not Head-On,Daylight
1132,Not Head-On,Not Daylight
1133,Not Head-On,Daylight
1134,Not Head-On,Daylight
1135,Not Head-On,Daylight
1136,Not Head-On,Daylight
1137,Not Head-On,Not Daylight
1138,Not Head-On,Not Daylight
1139,Not Head-On,Daylight
1140,Not Head-On,Daylight
1141,Not Head-On,Daylight
1142,Not Head-On,Daylight
1143,Not Head-On,Daylight
1144,Not Head-On,Not Daylight
1145,Not Head-On,Daylight
1146,Not Head-On,Not Daylight
1147,Head-on,Not Daylight
1148,Head-on,Daylight
1149,Not Head-On,Daylight
1150,Not Head-On,Daylight
1151,Not Head-On,Daylight
1152,Not Head-On,Daylight
1153,Not Head-On,Daylight
1154,Not Head-On,Daylight
1155,Not Head-On,Not Daylight
1156,Not Head-On,Not Daylight
1157,Not Head-On,Daylight
1158,Not Head-On,Daylight
1159,Not Head-On,Daylight
1160,Not Head-On,Not Daylight
1161,Not Head-On,Daylight
1162,Not Head-On,Not Daylight
1163,Not Head-On,Not Daylight
1164,Not Head-On,Daylight
1165,Not Head-On,Not Daylight
1166,Head-on,Daylight
1167,Not Head-On,Daylight
1168,Not Head-On,Daylight
1169,Not Head-On,Daylight
1170,Not Head-On,Daylight
1171,Not Head-On,Daylight
1172,Not Head-On,Daylight
1173,Not Head-On,Daylight
1174,Not Head-On,Daylight
1175,Not Head-On,Daylight
1176,Not Head-On,Daylight
1177,Not Head-On,Not Daylight
1178,Not Head-On,Daylight
1179,Not Head-On,Daylight
1180,Not Head-On,Daylight
1181,Head-on,Daylight
1182,Not Head-On,Not Daylight
1183,Not Head-On,Daylight
1184,Not Head-On,Not Daylight
1185,Not Head-On,Not Daylight
1186,Not Head-On,Daylight
1187,Not Head-On,Daylight
1188,Not Head-On,Daylight
1189,Not Head-On,Not Daylight
1190,Not Head-On,Daylight
1191,Not Head-On,Daylight
1192,Not Head-On,Not Daylight
1193,Not Head-On,Daylight
1194,Not Head-On,Not Daylight
1195,Not Head-On,Not Daylight
1196,Not Head-On,Not Daylight
1197,Not Head-On,Daylight
1198,Not Head-On,Daylight
1199,Not Head-On,Not Daylight
1200,Head-on,Daylight
1201,Not Head-On,Daylight
1202,Not Head-On,Daylight
1203,Not Head-On,Daylight
1204,Not Head-On,Daylight
1205,Not Head-On,Daylight
1206,Head-on,Daylight
1207,Not Head-On,Daylight
1208,Not Head-On,Not Daylight
1209,Not Head-On,Daylight
1210,Not Head-On,Not Daylight
1211,Not Head-On,Not Daylight
1212,Not Head-On,Daylight
1213,Not Head-On,Not Daylight
1214,Not Head-On,Daylight
1215,Not Head-On,Daylight
1216,Not Head-On,Daylight
1217,Not Head-On,Daylight
1218,Head-on,Not Daylight
1219,Not Head-On,Daylight
1220,Not Head-On,Not Daylight
1221,Not Head-On,Daylight
1222,Not Head-On,Not Daylight
1223,Not Head-On,Daylight
1224,Not Head-On,Daylight
1225,Not Head-On,Daylight
1226,Not Head-On,Daylight
1227,Not Head-On,Not Daylight
1228,Not Head-On,Not Daylight
1229,Not Head-On,Daylight
1230,Head-on,Daylight
1231,Not Head-On,Daylight
1232,Not Head-On,Daylight
1233,Not Head-On,Not Daylight
1234,Head-on,Daylight
1235,Not Head-On,Daylight
1236,Not Head-On,Daylight
1237,Not Head-On,Not Daylight
1238,Not Head-On,Daylight
1239,Not Head-On,Daylight
1240,Not Head-On,Daylight
1241,Not Head-On,Daylight
1242,Not Head-On,Not Daylight
1243,Not Head-On,Daylight
1244,Not Head-On,Daylight
1245,Not Head-On,Daylight
1246,Not Head-On,Daylight
1247,Not Head-On,Daylight
1248,Not Head-On,Daylight
1249,Not Head-On,Daylight
1250,Not Head-On,Daylight
1251,Head-on,Not Daylight
1252,Not Head-On,Not Daylight
1253,Not Head-On,Daylight
1254,Not Head-On,Not Daylight
1255,Not Head-On,Daylight
1256,Not Head-On,Daylight
1257,Not Head-On,Not Daylight
1258,Not Head-On,Daylight
1259,Head-on,Daylight
1260,Not Head-On,Daylight
1261,Not Head-On,Daylight
1262,Not Head-On,Not Daylight
1263,Head-on,Daylight
1264,Not Head-On,Daylight
1265,Not Head-On,Daylight
1266,Not Head-On,Daylight
1267,Not Head-On,Not Daylight
1268,Not Head-On,Daylight
1269,Not Head-On,Daylight
1270,Not Head-On,Not Daylight
1271,Not Head-On,Daylight
1272,Not Head-On,Daylight
1273,Not Head-On,Not Daylight
1274,Not Head-On,Daylight
1275,Not Head-On,Not Daylight
1276,Not Head-On,Not Daylight
1277,Not Head-On,Daylight
1278,Not Head-On,Daylight
1279,Not Head-On,Daylight
1280,Not Head-On,Not Daylight
1281,Not Head-On,Daylight
1282,Not Head-On,Daylight
1283,Not Head-On,Daylight
1284,Not Head-On,Daylight
1285,Not Head-On,Daylight
1286,Not Head-On,Daylight
1287,Not Head-On,Daylight
1288,Not Head-On,Daylight
1289,Not Head-On,Daylight
1290,Not Head-On,Daylight
1291,Not Head-On,Daylight
1292,Not Head-On,Daylight
1293,Head-on,Daylight
1294,Not Head-On,Daylight
1295,Not Head-On,Daylight
1296,Not Head-On,Not Daylight
1297,Not Head-On,Daylight
1298,Not Head-On,Not Daylight
1299,Not Head-On,Daylight
1300,Not Head-On,Daylight
1301,Not Head-On,Daylight
1302,Not Head-On,Not Daylight
1303,Not Head-On,Not Daylight
1304,Not Head-On,Daylight
1305,Not Head-On,Not Daylight
1306,Not Head-On,Not Daylight
1307,Not Head-On,Daylight
1308,Not Head-On,Not Daylight
1309,Not Head-On,Daylight
1310,Not Head-On,Daylight
1311,Not Head-On,Daylight
1312,Not Head-On,Not Daylight
1313,Not Head-On,Daylight
1314,Not Head-On,Daylight
1315,Not Head-On,Daylight
1316,Not Head-On,Daylight
1317,Not Head-On,Daylight
1318,Not Head-On,Not Daylight
1319,Not Head-On,Daylight
1320,Not Head-On,Daylight
1321,Not Head-On,Daylight
1322,Not Head-On,Daylight
1323,Not Head-On,Daylight
1324,Not Head-On,Not Daylight
1325,Not Head-On,Not Daylight
1326,Not Head-On,Daylight
1327,Not Head-On,Daylight
1328,Not Head-On,Daylight
1329,Not Head-On,Not Daylight
1330,Not Head-On,Daylight
1331,Not Head-On,Daylight
1332,Not Head-On,Daylight
1333,Not Head-On,Daylight
1334,Not Head-On,Daylight
1335,Not Head-On,Not Daylight
1336,Not Head-On,Not Daylight
1337,Not Head-On,Daylight
1338,Not Head-On,Not Daylight
1339,Not Head-On,Daylight
1340,Not Head-On,Not Daylight
1341,Not Head-On,Not Daylight
1342,Not Head-On,Daylight
1343,Not Head-On,Daylight
1344,Not Head-On,Daylight
1345,Not Head-On,Daylight
1346,Not Head-On,Daylight
1347,Not Head-On,Daylight
1348,Not Head-On,Not Daylight
1349,Not Head-On,Not Daylight
1350,Not Head-On,Daylight
1351,Not Head-On,Daylight
1352,Not Head-On,Daylight
1353,Not Head-On,Daylight
1354,Not Head-On,Daylight
1355,Not Head-On,Not Daylight
1356,Not Head-On,Daylight
1357,Not Head-On,Not Daylight
1358,Not Head-On,Daylight
1359,Not Head-On,Daylight
1360,Not Head-On,Daylight
1361,Not Head-On,Not Daylight
1362,Head-on,Daylight
1363,Not Head-On,Daylight
1364,Not Head-On,Daylight
1365,Not Head-On,Daylight
1366,Not Head-On,Daylight
1367,Not Head-On,Daylight
1368,Not Head-On,Daylight
1369,Not Head-On,Not Daylight
1370,Head-on,Daylight
1371,Not Head-On,Daylight
1372,Not Head-On,Daylight
1373,Not Head-On,Not Daylight
1374,Not Head-On,Daylight
1375,Not Head-On,Daylight
1376,Not Head-On,Daylight
1377,Not Head-On,Daylight
1378,Not Head-On,Daylight
1379,Not Head-On,Not Daylight
1380,Not Head-On,Daylight
1381,Not Head-On,Daylight
1382,Not Head-On,Daylight
1383,Not Head-On,Daylight
1384,Not Head-On,Daylight
1385,Not Head-On,Daylight
1386,Not Head-On,Daylight
1387,Not Head-On,Not Daylight
1388,Not Head-On,Daylight
1389,Not Head-On,Daylight
1390,Not Head-On,Not Daylight
1391,Not Head-On,Daylight
1392,Not Head-On,Daylight
1393,Not Head-On,Daylight
1394,Not Head-On,Daylight
1395,Not Head-On,Daylight
1396,Not Head-On,Not Daylight
1397,Not Head-On,Daylight
1398,Not Head-On,Not Daylight
1399,Not Head-On,Not Daylight
1400,Not Head-On,Daylight
1401,Not Head-On,Daylight
1402,Not Head-On,Not Daylight
1403,Not Head-On,Not Daylight
1404,Not Head-On,Daylight
1405,Not Head-On,Not Daylight
1406,Not Head-On,Daylight
1407,Not Head-On,Not Daylight
1408,Not Head-On,Daylight
1409,Not Head-On,Not Daylight
1410,Not Head-On,Not Daylight
1411,Not Head-On,Daylight
1412,Not Head-On,Daylight
1413,Not Head-On,Daylight
1414,Not Head-On,Daylight
1415,Not Head-On,Daylight
1416,Not Head-On,Not Daylight
1417,Not Head-On,Daylight
1418,Not Head-On,Daylight
1419,Not Head-On,Daylight
1420,Not Head-On,Daylight
1421,Not Head-On,Daylight
1422,Not Head-On,Daylight
1423,Not Head-On,Daylight
1424,Not Head-On,Daylight
1425,Not Head-On,Daylight
1426,Not Head-On,Daylight
1427,Not Head-On,Daylight
1428,Not Head-On,Not Daylight
1429,Not Head-On,Daylight
1430,Not Head-On,Not Daylight
1431,Not Head-On,Daylight
1432,Not Head-On,Not Daylight
1433,Not Head-On,Not Daylight
1434,Not Head-On,Daylight
1435,Not Head-On,Not Daylight
1436,Head-on,Daylight
1437,Not Head-On,Daylight
1438,Not Head-On,Daylight
1439,Not Head-On,Daylight
1440,Not Head-On,Daylight
1441,Not Head-On,Daylight
1442,Not Head-On,Not Daylight
1443,Not Head-On,Daylight
1444,Not Head-On,Daylight
1445,Head-on,Daylight
1446,Not Head-On,Not Daylight
1447,Not Head-On,Daylight
1448,Not Head-On,Daylight
1449,Not Head-On,Not Daylight
1450,Not Head-On,Daylight
1451,Head-on,Daylight
1452,Not Head-On,Daylight
1453,Not Head-On,Not Daylight
1454,Not Head-On,Daylight
1455,Head-on,Not Daylight
1456,Head-on,Not Daylight
1457,Not Head-On,Not Daylight
1458,Not Head-On,Daylight
1459,Head-on,Daylight
1460,Head-on,Daylight
1461,Not Head-On,Not Daylight
1462,Head-on,Not Daylight
1463,Not Head-On,Daylight
1464,Not Head-On,Daylight
1465,Not Head-On,Daylight
1466,Not Head-On,Daylight
1467,Not Head-On,Daylight
1468,Not Head-On,Daylight
1469,Not Head-On,Daylight
1470,Not Head-On,Daylight
1471,Not Head-On,Not Daylight
1472,Not Head-On,Daylight
1473,Not Head-On,Daylight
1474,Not Head-On,Daylight
1475,Not Head-On,Not Daylight
1476,Not Head-On,Daylight
1477,Not Head-On,Daylight
1478,Not Head-On,Daylight
1479,Not Head-On,Not Daylight
1480,Not Head-On,Daylight
1481,Not Head-On,Daylight
1482,Not Head-On,Daylight
1483,Not Head-On,Daylight
1484,Not Head-On,Not Daylight
1485,Not Head-On,Daylight
1486,Not Head-On,Daylight
1487,Not Head-On,Not Daylight
1488,Head-on,Not Daylight
1489,Not Head-On,Not Daylight
1490,Not Head-On,Daylight
1491,Not Head-On,Daylight
1492,Not Head-On,Daylight
1493,Not Head-On,Not Daylight
1494,Not Head-On,Daylight
1495,Not Head-On,Not Daylight
1496,Not Head-On,Daylight
1497,Head-on,Not Daylight
1498,Not Head-On,Daylight
1499,Not Head-On,Daylight
1500,Not Head-On,Not Daylight
1501,Not Head-On,Daylight
1502,Not Head-On,Not Daylight
1503,Head-on,Not Daylight
1504,Not Head-On,Daylight
1505,Not Head-On,Daylight
1506,Not Head-On,Daylight
1507,Not Head-On,Daylight
1508,Not Head-On,Not Daylight
1509,Not Head-On,Daylight
1510,Not Head-On,Not Daylight
1511,Not Head-On,Daylight
1512,Not Head-On,Not Daylight
1513,Not Head-On,Daylight
1514,Not Head-On,Daylight
1515,Not Head-On,Daylight
1516,Not Head-On,Daylight
1517,Not Head-On,Daylight
1518,Not Head-On,Not Daylight
1519,Not Head-On,Not Daylight
1520,Head-on,Daylight
1521,Not Head-On,Not Daylight
1522,Not Head-On,Daylight
1523,Not Head-On,Not Daylight
1524,Not Head-On,Daylight
1525,Not Head-On,Daylight
1526,Not Head-On,Not Daylight
1527,Not Head-On,Daylight
1528,Not Head-On,Daylight
1529,Not Head-On,Not Daylight
1530,Not Head-On,Daylight
1531,Not Head-On,Daylight
1532,Not Head-On,Daylight
1533,Not Head-On,Not Daylight
1534,Not Head-On,Not Daylight
1535,Not Head-On,Daylight
1536,Not Head-On,Not Daylight
1537,Not Head-On,Not Daylight
1538,Not Head-On,Daylight
1539,Not Head-On,Daylight
1540,Not Head-On,Daylight
1541,Not Head-On,Daylight
1542,Not Head-On,Daylight
1543,Not Head-On,Daylight
1544,Not Head-On,Daylight
1545,Not Head-On,Daylight
1546,Not Head-On,Daylight
1547,Not Head-On,Not Daylight
1548,Not Head-On,Daylight
1549,Not Head-On,Daylight
1550,Not Head-On,Daylight
1551,Not Head-On,Daylight
1552,Not Head-On,Daylight
1553,Not Head-On,Not Daylight
1554,Not Head-On,Daylight
1555,Not Head-On,Not Daylight
1556,Not Head-On,Daylight
1557,Not Head-On,Daylight
1558,Not Head-On,Daylight
1559,Not Head-On,Daylight
1560,Not Head-On,Daylight
1561,Not Head-On,Daylight
1562,Not Head-On,Not Daylight
1563,Not Head-On,Daylight
1564,Not Head-On,Not Daylight
1565,Not Head-On,Daylight
1566,Not Head-On,Daylight
1567,Not Head-On,Daylight
1568,Not Head-On,Daylight
1569,Not Head-On,Daylight
1570,Not Head-On,Daylight
1571,Not Head-On,Not Daylight
1572,Not Head-On,Daylight
1573,Not Head-On,Daylight
1574,Not Head-On,Daylight
1575,Not Head-On,Not Daylight
1576,Not Head-On,Daylight
1577,Not Head-On,Daylight
1578,Not Head-On,Not Daylight
1579,Not Head-On,Daylight
1580,Not Head-On,Daylight
1581,Not Head-On,Daylight
1582,Not Head-On,Not Daylight
1583,Head-on,Daylight
1584,Head-on,Daylight
1585,Not Head-On,Not Daylight
1586,Head-on,Daylight
1587,Not Head-On,Not Daylight
1588,Not Head-On,Daylight
1589,Not Head-On,Daylight
1590,Not Head-On,Daylight
1591,Not Head-On,Daylight
1592,Not Head-On,Daylight
1593,Head-on,Not Daylight
1594,Not Head-On,Daylight
1595,Not Head-On,Daylight
1596,Not Head-On,Not Daylight
1597,Head-on,Daylight
1598,Not Head-On,Daylight
1599,Not Head-On,Daylight
1600,Not Head-On,Not Daylight
1601,Not Head-On,Not Daylight
1602,Not Head-On,Daylight
1603,Not Head-On,Daylight
1604,Not Head-On,Daylight
1605,Not Head-On,Daylight
1606,Not Head-On,Daylight
1607,Not Head-On,Daylight
1608,Not Head-On,Daylight
1609,Not Head-On,Not Daylight
1610,Not Head-On,Daylight
1611,Not Head-On,Daylight
1612,Not Head-On,Daylight
1613,Not Head-On,Not Daylight
1614,Not Head-On,Daylight
1615,Not Head-On,Daylight
1616,Not Head-On,Not Daylight
1617,Not Head-On,Daylight
1618,Not Head-On,Daylight
1619,Not Head-On,Daylight
1620,Not Head-On,Daylight
1621,Head-on,Daylight
1622,Not Head-On,Daylight
1623,Not Head-On,Daylight
1624,Not Head-On,Not Daylight
1625,Not Head-On,Daylight
1626,Not Head-On,Not Daylight
1627,Not Head-On,Daylight
1628,Not Head-On,Daylight
1629,Not Head-On,Daylight
1630,Not Head-On,Daylight
1631,Not Head-On,Not Daylight
1632,Not Head-On,Not Daylight
1633,Not Head-On,Not Daylight
1634,Not Head-On,Daylight
1635,Not Head-On,Not Daylight
1636,Not Head-On,Daylight
1637,Head-on,Daylight
1638,Not Head-On,Daylight
1639,Not Head-On,Daylight
1640,Not Head-On,Not Daylight
1641,Not Head-On,Daylight
1642,Not Head-On,Daylight
1643,Not Head-On,Daylight
1644,Not Head-On,Not Daylight
1645,Not Head-On,Daylight
1646,Not Head-On,Not Daylight
1647,Not Head-On,Daylight
1648,Not Head-On,Not Daylight
1649,Not Head-On,Daylight
1650,Not Head-On,Daylight
1651,Not Head-On,Daylight
1652,Not Head-On,Daylight
1653,Not Head-On,Daylight
1654,Not Head-On,Daylight
1655,Head-on,Daylight
1656,Not Head-On,Daylight
1657,Not Head-On,Daylight
1658,Not Head-On,Daylight
1659,Not Head-On,Daylight
1660,Not Head-On,Daylight
1661,Not Head-On,Daylight
1662,Not Head-On,Daylight
1663,Not Head-On,Daylight
1664,Not Head-On,Not Daylight
1665,Not Head-On,Daylight
1666,Not Head-On,Daylight
1667,Head-on,Daylight
1668,Not Head-On,Daylight
1669,Not Head-On,Not Daylight
1670,Not Head-On,Daylight
1671,Head-on,Daylight
1672,Not Head-On,Not Daylight
1673,Not Head-On,Daylight
1674,Not Head-On,Daylight
1675,Not Head-On,Daylight
1676,Not Head-On,Daylight
1677,Not Head-On,Not Daylight
1678,Not Head-On,Daylight
1679,Not Head-On,Not Daylight
1680,Not Head-On,Daylight
1681,Not Head-On,Not Daylight
1682,Not Head-On,Not Daylight
1683,Not Head-On,Daylight
1684,Not Head-On,Not Daylight
1685,Head-on,Not Daylight
1686,Not Head-On,Daylight
1687,Not Head-On,Daylight
1688,Not Head-On,Daylight
1689,Not Head-On,Not Daylight
1690,Not Head-On,Daylight
1691,Not Head-On,Daylight
1692,Not Head-On,Daylight
1693,Not Head-On,Daylight
1694,Not Head-On,Not Daylight
1695,Not Head-On,Daylight
1696,Not Head-On,Daylight
1697,Not Head-On,Daylight
1698,Not Head-On,Daylight
1699,Not Head-On,Daylight
1700,Head-on,Daylight
1701,Not Head-On,Daylight
1702,Not Head-On,Daylight
1703,Not Head-On,Daylight
1704,Not Head-On,Not Daylight
1705,Not Head-On,Daylight
1706,Not Head-On,Daylight
1707,Not Head-On,Not Daylight
1708,Not Head-On,Daylight
1709,Not Head-On,Daylight
1710,Not Head-On,Not Daylight
1711,Not Head-On,Daylight
1712,Not Head-On,Daylight
1713,Not Head-On,Not Daylight
1714,Not Head-On,Daylight
1715,Not Head-On,Daylight
1716,Not Head-On,Daylight
1717,Not Head-On,Not Daylight
1718,Not Head-On,Daylight
1719,Head-on,Daylight
1720,Not Head-On,Daylight
1721,Not Head-On,Not Daylight
1722,Not Head-On,Daylight
1723,Not Head-On,Daylight
1724,Head-on,Daylight
1725,Not Head-On,Not Daylight
1726,Not Head-On,Daylight
1727,Not Head-On,Daylight
1728,Not Head-On,Not Daylight
1729,Not Head-On,Daylight
1730,Not Head-On,Daylight
1731,Not Head-On,Not Daylight
1732,Not Head-On,Not Daylight
1733,Not Head-On,Daylight
1734,Not Head-On,Daylight
1735,Not Head-On,Daylight
1736,Not Head-On,Daylight
1737,Not Head-On,Not Daylight
1738,Not Head-On,Daylight
1739,Not Head-On,Daylight
1740,Not Head-On,Daylight
1741,Not Head-On,Daylight
1742,Not Head-On,Not Daylight
1743,Not Head-On,Daylight
1744,Not Head-On,Daylight
1745,Not Head-On,Not Daylight
1746,Not Head-On,Not Daylight
1747,Not Head-On,Daylight
1748,Not Head-On,Daylight
1749,Not Head-On,Daylight
1750,Not Head-On,Daylight
1751,Not Head-On,Daylight
1752,Not Head-On,Not Daylight
1753,Not Head-On,Daylight
1754,Not Head-On,Daylight
1755,Not Head-On,Daylight
1756,Not Head-On,Daylight
1757,Not Head-On,Daylight
1758,Not Head-On,Daylight
1759,Head-on,Daylight
1760,Not Head-On,Daylight
1761,Not Head-On,Not Daylight
1762,Not Head-On,Daylight
1763,Not Head-On,Daylight
1764,Not Head-On,Daylight
1765,Not Head-On,Not Daylight
1766,Not Head-On,Daylight
1767,Not Head-On,Daylight
1768,Not Head-On,Daylight
1769,Not Head-On,Not Daylight
1770,Not Head-On,Daylight
1771,Not Head-On,Daylight
1772,Not Head-On,Daylight
1773,Not Head-On,Daylight
1774,Not Head-On,Not Daylight
1775,Not Head-On,Daylight
1776,Not Head-On,Daylight
1777,Not Head-On,Daylight
1778,Not Head-On,Daylight
1779,Not Head-On,Not Daylight
1780,Not Head-On,Daylight
1781,Not Head-On,Not Daylight
1782,Not Head-On,Daylight
1783,Not Head-On,Not Daylight
1784,Not Head-On,Not Daylight
1785,Not Head-On,Daylight
1786,Not Head-On,Daylight
1787,Not Head-On,Daylight
1788,Not Head-On,Not Daylight
1789,Not Head-On,Daylight
1790,Not Head-On,Not Daylight
1791,Not Head-On,Not Daylight
1792,Not Head-On,Daylight
1793,Not Head-On,Daylight
1794,Not Head-On,Not Daylight
1795,Not Head-On,Not Daylight
1796,Not Head-On,Daylight
1797,Not Head-On,Daylight
1798,Not Head-On,Daylight
1799,Not Head-On,Daylight
1800,Not Head-On,Daylight
1801,Not Head-On,Daylight
1802,Not Head-On,Daylight
1803,Not Head-On,Daylight
1804,Not Head-On,Daylight
1805,Not Head-On,Daylight
1806,Not Head-On,Daylight
1807,Not Head-On,Daylight
1808,Not Head-On,Daylight
1809,Not Head-On,Daylight
1810,Not Head-On,Not Daylight
1811,Not Head-On,Daylight
1812,Not Head-On,Daylight
1813,Not Head-On,Daylight
1814,Not Head-On,Daylight
1815,Not Head-On,Daylight
1816,Not Head-On,Daylight
1817,Not Head-On,Daylight
1818,Not Head-On,Daylight
1819,Not Head-On,Daylight
1820,Not Head-On,Daylight
1821,Not Head-On,Not Daylight
1822,Not Head-On,Daylight
1823,Not Head-On,Daylight
1824,Not Head-On,Daylight
1825,Not Head-On,Not Daylight
1826,Not Head-On,Daylight
1827,Not Head-On,Daylight
1828,Not Head-On,Not Daylight
1829,Not Head-On,Daylight
1830,Not Head-On,Daylight
1831,Not Head-On,Daylight
1832,Not Head-On,Daylight
1833,Not Head-On,Not Daylight
1834,Not Head-On,Not Daylight
1835,Not Head-On,Daylight
1836,Not Head-On,Daylight
1837,Not Head-On,Daylight
1838,Not Head-On,Daylight
1839,Not Head-On,Daylight
1840,Head-on,Not Daylight
1841,Not Head-On,Daylight
1842,Head-on,Not Daylight
1843,Not Head-On,Not Daylight
1844,Head-on,Not Daylight
1845,Not Head-On,Not Daylight
1846,Head-on,Not Daylight
1847,Not Head-On,Daylight
1848,Not Head-On,Daylight
1849,Not Head-On,Daylight
1850,Not Head-On,Daylight
1851,Not Head-On,Daylight
1852,Head-on,Daylight
1853,Not Head-On,Daylight
1854,Not Head-On,Daylight
1855,Not Head-On,Daylight
1856,Not Head-On,Daylight
1857,Not Head-On,Daylight
1858,Head-on,Daylight
1859,Not Head-On,Not Daylight
1860,Not Head-On,Daylight
1861,Head-on,Not Daylight
1862,Not Head-On,Not Daylight
1863,Not Head-On,Daylight
1864,Not Head-On,Not Daylight
1865,Not Head-On,Daylight
1866,Not Head-On,Daylight
1867,Not Head-On,Daylight
1868,Not Head-On,Daylight
1869,Not Head-On,Daylight
1870,Not Head-On,Not Daylight
1871,Not Head-On,Not Daylight
